	C1_s0_L001_R1_001_trimmed.fastqS.bam	C2_s0_L001_R1_001_trimmed.fastqS.bam	C3_s1_L001_R1_001_trimmed.fastqS.bam	C4_s0_L002_R1_001_trimmed.fastqS.bam	C5_s0_L002_R1_001_trimmed.fastqS.bam	NLA1_s0_L001_R1_001_trimmed.fastqS.bam	NLA2_s1_L001_R1_001_trimmed.fastqS.bam	NLA3_s0_L002_R1_001_trimmed.fastqS.bam	NLA4_s0_L002_R1_001_trimmed.fastqS.bam	NLA5_s0_L002_R1_001_trimmed.fastqS.bam	PLS1_s0_L001_R1_001_trimmed.fastqS.bam	PLS2_s0_L001_R1_001_trimmed.fastqS.bam	PLS3_s0_L002_R1_001_trimmed.fastqS.bam	PLS4_s0_L002_R1_001_trimmed.fastqS.bam	PLS5_s0_L002_R1_001_trimmed.fastqS.bam
hsa-miR-1227-3p	2	4	1	9	2	6	4	1	0	2	4	2	5	2	0
hsa-miR-1227-5p	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-1228-3p	10	4	8	8	9	15	27	19	2	8	19	18	33	31	13
hsa-miR-1228-5p	1	2	2	2	2	0	2	1	1	2	2	4	1	8	4
hsa-miR-1229-3p	19	23	19	16	24	14	10	8	8	8	13	18	12	12	6
hsa-miR-1229-5p	0	0	0	0	1	0	1	0	1	2	0	1	1	1	1
hsa-miR-1231	0	1	1	2	3	1	1	2	2	0	1	4	2	0	0
hsa-miR-1233-3p	15	25	17	22	24	4	5	5	1	1	2	0	5	5	5
hsa-miR-1233-5p	0	3	1	0	2	0	0	0	0	0	0	1	1	1	0
hsa-miR-1234-3p	2	4	4	5	5	4	1	5	1	2	2	2	1	2	0
hsa-miR-1236-3p	1	2	1	1	1	1	0	2	0	0	0	1	0	0	0
hsa-miR-1236-5p	1	1	0	0	1	0	0	2	0	0	0	0	1	0	2
hsa-miR-1237-3p	4	4	3	6	3	4	2	4	0	0	2	5	1	1	1
hsa-miR-1237-5p	0	0	0	1	3	1	2	1	0	0	0	0	0	0	0
hsa-miR-1238-3p	1	3	0	4	5	0	0	0	1	0	0	1	0	0	0
hsa-miR-1238-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-124-3p	7493	8829	6806	10657	12325	5104	6410	5051	1120	2816	5217	5433	3976	1078	180
hsa-miR-124-5p	30	35	27	36	49	42	23	22	11	13	43	61	42	7	1
hsa-miR-1243	32	22	22	23	25	19	30	18	3	21	19	13	14	19	6
hsa-miR-1244	1	0	0	0	2	0	0	0	0	2	0	0	0	1	0
hsa-miR-1245a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1245b-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1245b-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-1246	1806	1762	1313	1612	2157	634	1790	1537	1079	818	176	320	343	383	134
hsa-miR-1247-3p	1	1	0	0	0	1	0	4	0	0	4	4	2	1	1
hsa-miR-1247-5p	9	9	13	25	16	51	24	9	7	7	54	52	64	26	26
hsa-miR-1248	649	459	245	328	368	408	12	31	18	25	35	18	43	12	18
hsa-miR-1249-3p	804	874	781	977	966	500	854	670	285	445	304	467	697	306	209
hsa-miR-1249-5p	0	1	2	3	1	0	2	1	0	0	0	0	0	0	0
hsa-miR-1250-3p	3	4	2	1	4	2	1	1	0	7	0	3	0	0	0
hsa-miR-1250-5p	39	58	47	45	47	13	41	24	2	28	9	19	11	6	1
hsa-miR-1251-3p	0	1	0	1	0	0	0	2	0	0	0	0	2	0	0
hsa-miR-1251-5p	20	21	21	21	34	12	23	24	4	10	30	29	39	16	5
hsa-miR-1252-3p	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0
hsa-miR-1252-5p	8	9	2	13	4	1	1	3	0	3	5	6	3	3	0
hsa-miR-1253	0	2	2	1	1	0	1	0	0	1	0	0	0	0	0
hsa-miR-1254	39	58	41	33	43	17	23	24	12	15	9	7	13	13	10
hsa-miR-1255a	5	6	5	3	4	7	1	2	0	5	3	7	3	3	3
hsa-miR-1255b-2-3p	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0
hsa-miR-1255b-5p	0	0	0	0	0	2	0	1	0	0	1	0	0	0	2
hsa-miR-1256	1	4	2	0	4	1	4	1	0	0	0	2	1	1	0
hsa-miR-1257	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0
hsa-miR-1258	4	6	1	3	7	5	0	2	0	1	4	3	2	2	0
hsa-miR-125a-3p	17	20	12	5	11	19	16	9	2	12	16	11	13	16	13
hsa-miR-125a-5p	29322	27531	23013	24844	26892	21766	26812	24203	12410	10277	18381	20607	26989	13697	7285
hsa-miR-125b-1-3p	945	1038	886	726	870	846	1424	1121	411	606	1064	926	1215	1056	593
hsa-miR-125b-2-3p	4497	5352	4093	3735	4376	3780	5029	4447	1746	2337	4816	3987	5010	3769	1763
hsa-miR-125b-5p	28979	30074	25086	25909	28931	22581	30636	28326	15380	15578	21180	21540	30903	17454	9219
hsa-miR-126-3p	4505	4882	4210	4781	5894	5394	3068	3081	1348	2957	6589	6960	9162	5314	3731
hsa-miR-126-5p	18143	19220	15364	19394	23004	17840	11444	9715	2349	11095	20586	19700	29883	17638	9214
hsa-miR-1260a	76	122	68	82	105	65	91	64	9	35	58	57	74	59	36
hsa-miR-1260b	30	40	41	34	28	23	30	14	10	21	27	24	32	18	17
hsa-miR-1261	32	25	23	11	12	10	12	5	8	6	6	8	17	22	3
hsa-miR-1262	4	3	2	2	1	5	6	1	2	3	11	13	10	14	2
hsa-miR-1263	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-1264	8	2	7	14	10	17	4	4	0	2	10	16	5	0	1
hsa-miR-1265	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1266-3p	0	2	2	0	1	1	3	0	0	0	0	0	0	0	0
hsa-miR-1266-5p	2	5	2	5	2	7	9	11	2	6	9	7	17	16	10
hsa-miR-1267	4	2	0	1	1	1	1	0	1	2	2	0	0	0	0
hsa-miR-1268a	139	140	108	89	93	213	126	166	110	343	182	212	366	259	302
hsa-miR-1268b	6	8	7	3	3	4	3	3	0	0	0	4	3	0	1
hsa-miR-1269a	3	3	0	4	3	3	2	1	3	1	0	1	0	0	2
hsa-miR-1269b	0	1	1	3	1	3	3	3	1	0	0	0	0	0	0
hsa-miR-127-3p	30349	34950	26985	34538	38843	22026	28601	24689	8267	9844	23609	25652	22972	6682	3203
hsa-miR-127-5p	200	245	198	241	247	106	201	204	83	66	160	188	152	48	14
hsa-miR-1270	8	20	6	14	14	12	43	30	10	27	2	9	15	12	7
hsa-miR-1271-3p	9	6	4	5	4	3	3	2	1	2	1	1	1	2	0
hsa-miR-1271-5p	167	109	73	112	91	48	73	53	4	26	64	46	46	47	13
hsa-miR-1272	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
hsa-miR-1273a	285	323	256	224	256	65	56	46	28	17	37	17	14	35	35
hsa-miR-1273c	5	0	3	4	5	1	0	2	1	1	2	0	1	0	0
hsa-miR-1273d	67	47	50	33	56	11	15	9	14	9	6	7	4	21	4
hsa-miR-1273e	149	165	109	142	139	29	36	38	24	16	7	7	9	17	16
hsa-miR-1273f	82	123	106	71	104	51	63	62	55	52	29	25	32	45	33
hsa-miR-1273g-3p	135	138	69	115	132	84	33	47	36	34	52	11	34	44	24
hsa-miR-1273g-5p	11	16	5	6	7	0	3	4	3	1	0	1	3	2	0
hsa-miR-1273h-3p	36	28	37	30	22	14	19	15	9	10	15	15	10	9	9
hsa-miR-1273h-5p	19	25	14	14	13	0	7	5	3	3	2	3	4	1	2
hsa-miR-1275	2	1	2	2	3	0	1	0	0	1	0	1	2	0	0
hsa-miR-1276	6	12	6	3	5	1	3	3	2	3	8	1	0	4	0
hsa-miR-1277-3p	15	13	13	9	12	6	3	2	4	2	5	4	11	4	3
hsa-miR-1277-5p	184	184	179	167	215	53	58	42	30	44	72	91	84	69	17
hsa-miR-1278	6	3	2	2	3	1	3	1	1	4	0	0	0	3	0
hsa-miR-1279	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-128-1-5p	78	99	63	58	70	65	76	56	20	19	119	107	101	24	13
hsa-miR-128-2-5p	14	12	8	6	12	6	9	6	1	4	8	8	8	3	1
hsa-miR-128-3p	18764	21403	18267	17906	20519	13411	13243	10159	3482	6581	11436	14183	16100	2924	1190
hsa-miR-1281	2	0	1	0	2	0	0	1	0	0	0	1	0	2	0
hsa-miR-1282	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2
hsa-miR-1283	1	2	3	1	2	3	3	1	0	0	2	2	0	0	1
hsa-miR-1284	2	0	4	0	1	0	1	1	0	0	1	0	3	2	0
hsa-miR-1285-3p	122	124	100	92	112	66	101	102	35	40	27	75	48	44	25
hsa-miR-1285-5p	343	364	270	204	227	56	74	80	49	33	30	37	25	42	31
hsa-miR-1286	14	7	10	9	12	8	15	12	3	3	5	13	8	10	15
hsa-miR-1287-3p	4	3	1	2	6	1	0	1	0	4	1	2	0	1	0
hsa-miR-1287-5p	84	104	81	92	103	50	122	109	27	73	54	45	64	50	18
hsa-miR-1288-3p	1	0	0	0	2	0	3	0	0	0	1	1	0	0	0
hsa-miR-1288-5p	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
hsa-miR-1289	2	2	2	1	3	0	0	0	0	1	0	0	0	0	0
hsa-miR-129-1-3p	209	219	165	182	192	101	104	108	78	178	65	76	91	27	10
hsa-miR-129-2-3p	304	366	275	436	463	247	245	303	165	482	307	384	309	84	23
hsa-miR-129-5p	1002	1068	943	1407	1643	639	1134	1067	476	418	1082	963	707	195	53
hsa-miR-1290	14	10	10	14	22	3	11	13	11	6	3	7	4	5	1
hsa-miR-1291	7	10	7	12	19	12	18	14	6	6	5	13	13	7	8
hsa-miR-1292-3p	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
hsa-miR-1292-5p	4	1	1	5	4	2	2	6	0	2	2	2	1	3	1
hsa-miR-1293	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-1294	13	15	8	4	4	2	14	5	2	9	3	1	1	1	1
hsa-miR-1295a	2	3	2	4	1	2	2	1	0	2	1	0	0	0	0
hsa-miR-1295b-3p	0	1	2	1	1	0	0	0	0	0	0	0	0	1	0
hsa-miR-1295b-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1296-3p	12	6	8	9	17	7	7	5	2	3	4	3	7	4	1
hsa-miR-1296-5p	985	1103	900	1053	1231	856	721	597	221	555	534	978	834	285	105
hsa-miR-1297	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1
hsa-miR-1298-3p	13	30	17	43	38	55	23	8	4	6	46	46	39	6	9
hsa-miR-1298-5p	39	43	29	98	133	1416	9	7	8	4	494	217	90	21	112
hsa-miR-1299	147	154	121	73	72	127	18	12	4	8	83	124	97	60	13
hsa-miR-1301-3p	196	193	162	178	192	148	180	173	78	104	136	135	182	99	58
hsa-miR-1301-5p	1	1	1	3	3	1	0	2	0	0	1	2	1	2	0
hsa-miR-1302	1	1	2	1	2	2	0	0	1	2	2	2	2	2	2
hsa-miR-1303	36	48	34	28	27	17	18	19	7	7	24	19	26	18	16
hsa-miR-1304-3p	95	84	87	70	80	39	52	46	22	23	39	45	36	36	20
hsa-miR-1304-5p	5	8	6	6	3	2	2	6	0	1	0	0	0	0	0
hsa-miR-1305	3	1	1	2	6	2	2	0	0	2	0	4	1	0	0
hsa-miR-1306-3p	8	8	3	6	17	5	12	12	3	2	7	8	5	4	2
hsa-miR-1306-5p	49	56	46	49	61	49	57	50	22	37	38	36	57	28	13
hsa-miR-1307-3p	417	480	381	458	536	392	605	562	158	244	332	401	372	272	212
hsa-miR-1307-5p	6843	7625	6053	6843	8023	2899	9908	9125	1792	1897	4766	6584	7478	6339	3451
hsa-miR-130a-3p	1242	1401	1087	1113	1226	1418	1256	1083	398	1039	1937	1765	1880	2438	902
hsa-miR-130a-5p	3	3	1	1	3	0	3	5	2	4	4	4	3	9	3
hsa-miR-130b-3p	491	518	401	433	577	422	381	359	112	346	323	486	441	435	150
hsa-miR-130b-5p	83	94	103	95	112	83	79	93	38	79	60	71	95	71	40
hsa-miR-132-3p	4294	4847	3655	3912	4487	2181	1073	879	266	1038	1284	1536	1745	824	210
hsa-miR-132-5p	262	332	268	237	326	184	148	139	28	74	166	200	281	91	37
hsa-miR-1321	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
hsa-miR-1322	3	5	1	2	0	2	3	0	1	1	0	1	0	1	0
hsa-miR-1323	0	1	0	0	2	0	3	0	1	2	0	2	0	0	0
hsa-miR-1324	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-133a-3p	246	265	233	350	410	188	164	130	40	68	113	119	180	89	37
hsa-miR-133a-5p	2	1	3	0	2	2	1	0	0	1	1	1	0	0	0
hsa-miR-133b	1	0	0	0	2	0	0	0	0	0	0	0	1	1	0
hsa-miR-134-3p	7	15	7	7	6	5	10	2	2	2	10	6	5	3	1
hsa-miR-134-5p	218	222	173	269	298	144	241	230	70	115	201	240	206	53	18
hsa-miR-1343-3p	14	12	10	14	3	9	7	7	1	2	4	6	9	5	3
hsa-miR-1343-5p	4	2	5	5	4	2	1	2	0	1	4	0	1	3	1
hsa-miR-135a-3p	2	0	0	2	0	1	1	1	1	1	2	3	0	9	0
hsa-miR-135a-5p	214	247	226	358	369	323	212	161	111	136	1016	527	552	474	149
hsa-miR-135b-3p	2	4	2	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-135b-5p	47	42	37	18	21	2	4	5	0	9	8	3	5	1	1
hsa-miR-136-3p	2851	3452	2656	3362	4150	1405	1863	1476	410	938	1880	2104	1917	611	181
hsa-miR-136-5p	596	687	521	695	941	196	366	344	75	166	342	398	370	154	56
hsa-miR-137	280	318	226	267	376	316	179	162	59	150	521	571	564	121	21
hsa-miR-138-1-3p	205	221	175	152	173	96	55	60	16	67	54	73	51	28	11
hsa-miR-138-2-3p	80	52	59	40	67	29	21	13	9	8	11	16	15	5	4
hsa-miR-138-5p	3592	4052	3217	2974	3691	2352	2387	2020	878	1178	2181	3337	2887	799	366
hsa-miR-139-3p	22	16	22	20	27	15	29	27	7	17	27	19	19	4	1
hsa-miR-139-5p	2299	2421	2007	2469	2673	1165	1091	962	350	1726	1138	1201	1201	290	67
hsa-miR-140-3p	8832	9975	7707	9804	11461	7569	12148	10996	3849	7955	6373	7942	8461	5827	3457
hsa-miR-140-5p	698	702	599	593	743	419	425	393	219	428	331	498	454	254	151
hsa-miR-141-3p	50	70	55	35	36	62	36	41	14	26	115	43	107	122	50
hsa-miR-141-5p	0	3	0	0	0	2	2	1	0	2	1	1	3	1	0
hsa-miR-142-3p	380	457	361	309	356	233	513	499	283	302	699	751	722	1673	1384
hsa-miR-142-5p	2662	2942	2320	2508	2970	2379	3640	3185	991	3918	5286	6234	7534	19061	11240
hsa-miR-143-3p	49087	57140	47171	65916	76523	66606	90269	72956	19486	38854	89538	81101	124674	93048	52319
hsa-miR-143-5p	22	18	18	25	27	32	34	22	5	14	26	28	47	30	20
hsa-miR-144-3p	277	352	219	234	282	101	125	103	15	39	205	192	208	271	106
hsa-miR-144-5p	224	241	206	85	109	141	55	51	24	43	109	111	157	150	111
hsa-miR-145-3p	237	210	161	239	243	178	178	144	37	91	265	201	464	210	113
hsa-miR-145-5p	662	863	649	943	1073	844	894	883	664	525	931	655	1670	785	400
hsa-miR-1468-3p	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1468-5p	29	30	21	38	51	19	48	51	27	9	41	38	68	36	21
hsa-miR-1469	2	0	7	2	1	16	0	1	1	1	0	0	1	0	1
hsa-miR-146a-3p	2	5	5	4	0	4	0	5	2	5	3	5	1	12	11
hsa-miR-146a-5p	1321	1385	1244	1151	1402	1671	3574	3748	1623	2084	2215	2794	2529	7089	5009
hsa-miR-146b-3p	80	103	87	62	103	133	269	258	136	109	154	154	221	576	251
hsa-miR-146b-5p	6148	6200	5854	4597	5804	9098	10133	10070	4764	8302	13032	10675	10901	35201	12508
hsa-miR-1470	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
hsa-miR-1471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-147a	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-147b	18	16	19	17	19	8	30	15	6	16	8	4	19	27	29
hsa-miR-148a-3p	2132	2477	2061	2697	3335	3698	3206	2807	1227	1813	5491	5490	8401	5014	3419
hsa-miR-148a-5p	19	33	24	51	48	35	48	55	11	17	59	75	101	68	50
hsa-miR-148b-3p	4483	4990	4124	3928	4801	2878	3458	3356	1264	2794	2637	3381	2866	2381	1199
hsa-miR-148b-5p	354	355	324	344	374	178	221	241	120	118	177	165	240	160	86
hsa-miR-149-3p	4	2	5	0	2	2	1	0	0	0	1	2	1	0	0
hsa-miR-149-5p	1310	1553	1176	1394	1600	1264	1599	1354	511	1035	1888	1986	2002	847	455
hsa-miR-150-3p	1	1	0	0	2	2	2	2	2	0	3	0	3	3	3
hsa-miR-150-5p	357	385	316	303	339	401	290	241	78	391	611	585	1558	1625	1065
hsa-miR-151a-3p	21487	25018	20415	20914	23317	20530	30016	25934	10733	21838	10615	20844	16899	8974	4465
hsa-miR-151a-5p	25432	28819	23681	23367	26906	23700	14894	11105	2451	7763	9571	17868	16361	7056	3689
hsa-miR-151b	25779	29239	24008	23675	27316	24097	15143	11304	2497	7847	9749	18238	16637	7141	3733
hsa-miR-152-3p	664	764	601	611	720	729	884	905	367	617	1091	1040	1619	1167	718
hsa-miR-152-5p	28	17	15	11	30	15	27	41	10	18	29	23	34	52	25
hsa-miR-153-3p	1489	1653	1501	1919	2271	791	830	762	322	350	1979	2014	1982	611	192
hsa-miR-153-5p	13	19	14	10	15	13	9	12	12	6	14	19	21	4	4
hsa-miR-1537-3p	1	1	1	0	3	0	0	1	0	1	2	1	1	6	3
hsa-miR-1537-5p	0	1	1	0	1	0	0	0	1	3	1	0	0	1	1
hsa-miR-1538	5	5	0	1	6	1	4	1	3	1	0	0	2	1	3
hsa-miR-1539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-154-3p	18	26	11	28	32	19	10	7	5	5	8	16	7	1	0
hsa-miR-154-5p	81	103	62	84	91	39	39	44	15	24	57	55	66	22	5
hsa-miR-155-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-155-5p	211	198	188	165	195	671	434	399	198	643	700	1025	900	2066	1109
hsa-miR-1587	3	1	0	0	1	0	0	1	0	0	0	0	1	0	0
hsa-miR-15a-3p	10	6	5	5	8	2	6	4	1	3	2	2	3	4	1
hsa-miR-15a-5p	4178	4650	3846	3672	4272	3318	2461	2051	675	2498	2074	3087	2858	2403	1178
hsa-miR-15b-3p	26	39	28	33	42	22	32	24	6	38	16	30	19	24	14
hsa-miR-15b-5p	535	641	502	447	523	356	223	174	103	263	245	263	317	212	150
hsa-miR-16-1-3p	11	8	1	3	5	2	4	5	0	6	6	4	0	2	2
hsa-miR-16-2-3p	61	79	56	55	52	58	37	50	10	25	35	44	66	52	28
hsa-miR-16-5p	36068	38929	33106	29421	35253	28852	19242	15252	7101	25589	16110	24491	24586	21163	11365
hsa-miR-17-3p	152	172	124	150	196	114	99	115	35	63	89	120	88	46	36
hsa-miR-17-5p	1173	1355	1053	1018	1158	785	588	459	180	519	544	649	657	364	198
hsa-miR-181a-2-3p	1863	2203	1811	2192	2447	1423	3120	2801	916	1259	1169	1608	1810	1255	878
hsa-miR-181a-3p	7592	7685	6154	7195	8138	3851	7029	6250	2621	4651	1773	3157	2552	1101	518
hsa-miR-181a-5p	1102416	1240456	1042237	1161284	1311692	794096	1148784	1150322	428082	665022	416941	785412	567836	239053	116074
hsa-miR-181b-2-3p	5	7	8	10	17	5	9	5	2	4	5	14	15	9	4
hsa-miR-181b-3p	76	107	70	52	81	52	68	64	18	48	33	40	38	18	3
hsa-miR-181b-5p	68741	77647	63342	74886	85953	54275	79065	73335	30464	48521	24964	49041	37460	15629	6453
hsa-miR-181c-3p	1535	1637	1227	1622	1899	1180	1694	1429	434	883	1966	1644	2756	1363	850
hsa-miR-181c-5p	10884	12307	9900	11745	13782	9417	9644	9167	3142	6295	16606	14863	18229	10259	6293
hsa-miR-181d-3p	1	4	1	2	2	0	1	0	2	0	2	0	1	4	0
